∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
114,90106900043,901,690,43,ø¿¥ÎªÍªÁ∞Ì ¡∂∏¡¡°,Ohdaesansago Viewpoint,0,0,855.3900146,128.5726356,37.7564095,X,
115,90106900044,901,690,44,Ω≈º≥∞Ò ¡∂∏¡¡°,Sinseolgol Viewpoint,0,0,821.0700073,128.5766672,37.7781281,X,
116,90106900045,901,690,45,µø««∞Ò ¡∂∏¡¡°,Dongpigol Viewpoint,0,0,783.5700073,128.5775876,37.766597,X,
117,90106900046,901,690,46,¡∂∞≥∞Ò ¡∂∏¡¡°,Jogaegol Viewpoint,741,201,736.1799927,128.5772595,37.7492178,X,90106020007
118,90106900047,901,690,47,∫œ¥Î∞Ò ¡∂∏¡¡°,Bukdaegol Viewpoint,0,0,703.6799927,128.5245276,37.8393042,X,
119,90106900048,901,690,48,∞≥¿⁄¥œ∞Ò ¡∂∏¡¡°,Gaejanigol Viewpoint,0,0,753.3599854,128.6192386,37.7381709,X,
120,90106900049,901,690,49,∏Ì¡÷√ª«–µø º“±›∞≠ ¡∂∏¡¡°,Myeongseong Cheonghakdong Sogeumgang Viewpoint,0,0,284.3299866,128.7010538,37.8112199,X,
121,90106900050,901,690,50,∏≈∫¿ ¡∂∏¡¡°,Maebong Viewpoint,202,56,1193.430054,128.7099778,37.7635986,X,90106010007
122,90106900051,901,690,51,ø≠∏ÒæÓº≠Ωƒ¡ˆ ¡∂∏¡¡°,yeolmogeo Habitat Viewpoint,0,0,0,128.5230724,37.8398134,X,
123,90106900052,901,690,52,¿Â±∫∫¿ ¡∂∏¡¡°,Janggunbong Viewpoint,0,0,645.8300171,128.6069373,37.707295,X,
124,90106900053,901,690,53,πÈ∏∂∫¿ ¡∂∏¡¡°,Baegmabong Viewpoint,3077,291,283.6700134,128.6483053,37.835647,X,90106010005
125,90106900054,901,690,54,º€√µæ‡ºˆ ¡∂∏¡¡°,Songcheonyaksu Viewpoint,0,0,388.7399902,128.6297393,37.8108179,X,
126,90106900055,901,690,55,ªÛø¯ªÁµø¡æ ¡∂∏¡¡°,Sangwonsa dongjong Viewpoint,0,0,932.9699707,128.5642515,37.7862376,X,
127,90106900056,901,690,56,º±≥‡≈¡ ¡∂∏¡¡°,Seonnyeotang Viewpoint,229,236,470.5299988,128.6764096,37.7966718,X,90106090004
128,90106900057,901,690,57,¿˚∏Í∫∏±√ ¡∂∏¡¡°,Jeokmyeolbogung Viewpoint,0,0,1216.069946,128.5562916,37.7897812,X,
129,90106900058,901,690,58,πÈ∏∂∫¿ ¡∂∏¡¡°,Baegmabong Viewpoint,2697,334,350.5899963,128.6330747,37.8205261,X,90106010005
130,90106900059,901,690,59,¡¯∞Ì∞≥ ¡∂∏¡¡°,Jingogae Viewpoint,369,16,987.2299805,128.6066256,37.7662689,X,90106060001
131,110107000000,1101,690,1,"«“πÃ,«“æ∆∫ÒπŸ¿ß ¡∂∏¡¡°","Halmi, Halahbi Rock Viewpoint",566,114,28.48999977,126.3343261,36.5016439,X,110106000000
132,110107000000,1101,690,2,æ»∏Èµµ∏∞®¡÷≥™π´±∫∂Ù ¡∂∏¡¡°,Anmyeondo goldenrain Querc Viewpoint,0,0,27.79000092,126.3360028,36.5046887,X,
133,110107000000,1101,690,3,πÈªÁ¿Â«ÿºˆøÂ¿Â ¡∂∏¡¡°,White Sandy Beach Viewpoint,183,268,22.37000084,126.3124102,36.5833361,X,110106000000
134,110107000000,1101,690,4,πÊ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Bangpo Beach Viewpoint,620,296,24.42000008,126.3301824,36.5120215,X,110106000000
135,110107000000,1101,690,5,πÂ∞≥«ÿºˆøÂ¿Â ¡∂∏¡¡°,Batgae Beach Viewpoint,212,236,28.09000015,126.3304408,36.5243438,X,110106000000
136,110107000000,1101,690,6,æ»∏È«ÿºˆøÂ¿Â ¡∂∏¡¡°,Anmyeon Beach Viewpoint,477,274,29.79999924,126.3287766,36.5495654,X,110106000000
137,110107000000,1101,690,7,µŒø°±‚«ÿºˆøÂ¿Â ¡∂∏¡¡°,Duegi Beach Viewpoint,0,0,33.88000107,126.328069,36.5190655,X,
138,110107000000,1101,690,8,±πªÁ∫¿ ¡∂∏¡¡°,Guksabong Viewpoint,434,67,36.93000031,126.3481236,36.4422899,X,110106000000
139,110107000000,1101,690,9,πŸ∂˜æ∆∑°«ÿºˆøÂ¿Â ¡∂∏¡¡°,Below The Wind Beach Viewpoint,102,218,28.19000053,126.3769783,36.4127682,X,110106000000
140,110107000000,1101,690,10,ø¨∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Yenpo Beach Viewpoint,312,35,26.97999954,126.206686,36.6920518,X,110106000000
141,110107000000,1101,690,11,øÎ±º ¡∂∏¡¡°,Yonggul Viewpoint,0,0,26.22999954,126.1566854,36.6840739,X,
142,110107000000,1101,690,12,ºˆ¡§±º ¡∂∏¡¡°,Sujeonggul Viewpoint,0,0,31.03000069,126.1268381,36.6795935,X,
143,110107000000,1101,690,14,πÈªÁ¿Â«ÿºˆøÂ¿Â ¡∂∏¡¡°,White Sandy Beach Viewpoint,419,250,25.95000076,126.3138935,36.5852572,X,110106000000
144,110107000000,1101,690,15,ªÔ∫¿«ÿºˆøÂ¿Â ¡∂∏¡¡°,Sambong Beach Viewpoint,425,301,25.23999977,126.3143009,36.5713583,X,110106000000
145,110107000000,1101,690,16,±‚¡ˆ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Gijipo Beach Viewpoint,777,298,27.40999985,126.319839,36.5651743,X,110106000000
146,110107000000,1101,690,17,µŒø©«ÿºˆøÂ¿Â ¡∂∏¡¡°,Duyeo Beach Viewpoint,245,257,28.61000061,126.3296432,36.5426735,X,110106000000
